Id,PostId,RelatedPostId,LinkTypeId
9,14,1,1
50,75,71,1
172,59,41,1
387,361,61,1
392,61,361,1
451,370,155,1
583,422,155,1
789,477,461,1
897,518,458,1
1089,477,461,3
1181,616,22,1
2265,808,739,1
2362,825,223,1
2442,838,829,3
2560,554,52,1
2870,934,810,1
2945,948,859,1
3020,954,955,1
3049,955,954,1
3400,974,917,1
4741,1011,334,1
5030,1053,948,1
5387,1107,454,1
5388,1108,1107,1
5780,1132,22,1
5848,1141,808,1
5849,1141,739,1
6169,1174,211,1
6508,1208,992,1
7275,2316,2313,1
7370,2316,2313,3
7795,2343,842,1
8370,2460,2403,1
9841,2654,52,1
9842,2654,834,1
11720,2510,739,1
11856,3750,1021,1
11867,3751,2651,1
11875,3750,1021,3
12105,3738,3769,1
12372,3794,3772,1
12386,3794,3738,1
12435,1174,3738,1
12495,2346,758,1
12496,2346,904,1
12497,2346,1002,1
12498,2346,3718,1
13702,4836,4831,1
13789,1216,739,1
14031,4884,4914,1
14072,4921,842,1
14152,4942,917,1
14153,4942,974,1
14154,4944,1107,1
14199,4913,4919,1
14230,4913,4919,3
14241,4974,812,1
14361,5001,155,1
14403,5021,265,1
14404,5021,1119,1
15550,5155,4831,1
16891,5191,5176,1
17350,5192,739,1
17351,5192,758,1
17352,5192,842,1
17779,2313,5108,1
17965,2391,5193,1
18348,5317,5193,1
18493,5336,3718,1
18619,5357,758,1
18632,5371,59,1
19053,5436,917,1
19229,5464,19,1
19780,5502,41,1
19781,5502,3730,1
19782,5502,4925,1
20357,5549,5193,1
20715,5566,842,1
20716,5566,5080,1
20717,5566,5442,1
21633,5639,5316,1
22178,5730,641,1
22261,5735,3718,1
22268,5730,4980,1
22269,5701,758,1
22427,5110,812,1
22428,5110,2670,1
22520,5775,2384,1
22655,5803,4942,1
22791,5826,334,1
22792,5826,313,1
22793,5826,14,1
22794,5826,159,1
22795,5826,234,1
22796,5826,808,1
22797,5826,739,1
22798,5826,1216,1
23047,5881,5860,1
23428,5838,5941,1
23749,5990,4967,1
24053,6035,5417,1
24070,6035,5417,3
24589,6068,3751,1
26167,6192,5838,1
26907,6274,22,1
27381,6068,2651,1
28389,6088,6200,1
28436,2651,6068,3
29082,6547,5193,1
29197,2293,6547,1
29644,6591,6631,1
30097,6683,6648,1
31759,6730,739,3
33294,6866,2673,1
33295,6866,595,1
34143,6937,6576,1
34699,6550,869,1
34716,6550,412,1
34771,8002,6937,1
34978,6827,2368,1
35549,8079,8078,1
35556,8079,8078,3
35777,8087,5268,1
36217,8150,8018,1
36229,8131,758,1
36230,8131,1002,1
36231,8131,540,1
36872,6939,1107,1
37354,8277,8099,1
37395,8277,2368,1
38613,8384,19,1
39323,8457,8266,1
39984,8546,8440,1
40394,8586,1002,1
41076,8646,810,1
41077,8646,1107,1
41078,8646,454,1
41079,8646,736,1
41080,8646,6939,1
41538,8688,8070,1
41579,8665,8199,1
41857,8722,8339,1
42343,8775,8245,1
42651,8820,8646,1
43154,8883,8322,1
43333,8895,810,1
43987,8993,8873,1
45076,9140,6715,1
45323,9179,694,1
45661,9223,778,1
45662,9223,41,1
46233,9262,8426,1
46941,9344,9342,1
47164,9359,8963,1
47373,8681,22,1
47863,9418,5224,1
47881,9418,5224,3
47931,9427,9255,1
47960,9427,9255,3
48056,9435,8963,1
48454,9457,694,1
48597,9481,8606,1
48808,6576,9435,1
49432,9545,265,1
49433,9545,6201,1
49799,793,9568,1
49897,9580,155,1
49956,9580,422,1
49957,9580,587,1
49958,9580,997,1
50146,9593,6201,1
50256,9604,8847,1
50280,9612,9598,1
50291,9598,9612,1
50374,9621,9038,1
50443,9614,8606,1
50630,9626,4980,1
50858,9677,8941,1
50859,9677,9000,1
50860,9677,8963,1
50861,9677,9435,1
52416,9852,9818,1
53088,9924,8099,1
53172,9916,8064,1
54266,10030,9950,1
54514,10070,10030,1
54584,10081,9886,1
54719,10088,9483,1
54889,10091,8847,1
55568,10084,10090,1
55756,10154,5802,1
56769,10254,155,1
58074,10255,10349,1
58468,10386,808,1
60022,10531,5893,1
60333,10560,10550,3
60378,10557,10085,1
60630,10606,10509,1
60772,10606,10509,3
61923,10750,8583,1
61924,10750,9038,1
61925,10750,4942,1
64591,10943,10997,1
65522,10558,11043,1
66476,11166,9303,1
68399,11331,10531,1
68738,11371,2609,1
68966,11387,806,1
69652,11367,1119,1
72588,11591,5706,1
73298,11774,10531,1
73369,11797,8253,1
73410,11788,810,1
74064,11851,11853,1
74434,11890,10471,1
74474,11896,9507,1
75464,11880,11919,1
75822,12032,11915,1
78591,12147,1107,1
78592,12147,4944,1
78724,12119,4944,1
78730,12119,4944,3
79637,12188,985,1
79834,12223,12003,1
79868,12234,6817,1
80108,12257,10143,1
80109,12257,266,1
80110,12257,326,1
80111,12257,398,1
80180,12259,12250,1
80418,12269,12279,1
81084,12147,12347,1
82226,12437,10885,1
82366,12478,11367,1
82480,12496,12437,1
82604,12514,12265,1
83197,12564,12557,1
83199,12564,10085,1
83649,3759,12564,1
83781,12593,8667,1
83897,12626,12584,1
83898,12626,12622,1
83967,12634,12620,1
83968,12634,12620,3
84428,12678,8775,1
84962,10394,12619,1
84970,6884,12619,1
85089,12695,12626,1
85122,12720,12265,1
85647,12785,11091,1
86009,12821,155,1
86535,12875,9663,1
86540,12875,9663,3
86926,12919,694,1
87161,12930,6715,1
87162,12930,8799,1
87397,12960,12695,1
87718,12998,739,1
87844,13010,41,1
88103,5838,12930,1
88158,13051,11166,1
88285,13031,11014,1
88286,13031,5268,1
90818,12984,8286,1
91184,13250,13227,1
91590,13238,6169,1
91599,13273,22,1
91915,13273,12475,1
92035,13273,12475,3
92630,13359,6113,1
92649,13377,6084,1
92730,13385,12695,1
93600,13459,12655,1
93994,13504,13513,1
94193,13477,12851,1
94256,13477,12851,3
94439,13553,893,1
94770,13587,11699,1
94859,13574,13484,1
94860,13484,13574,1
94922,13574,13484,3
95253,12188,13273,1
95966,13691,13681,1
98328,13854,5710,1
98591,13854,5710,3
99429,12771,10885,1
99722,13978,9435,1
100259,14031,14028,1
100340,14039,13335,1
101389,14127,6547,1
102267,14223,14220,1
103382,14313,10919,1
104238,14355,22,1
104395,14396,5860,1
104396,14396,313,1
105427,14458,14406,1
105850,14415,13920,1
106026,14465,12761,1
106122,14528,6547,1
106786,14586,1253,1
108062,14711,1240,1
109887,14832,6576,1
109908,14832,6576,3
110522,14899,12851,1
111116,14941,14368,1
111298,14959,14941,3
111601,8032,14527,1
112597,15081,5706,1
113724,12886,15181,1
113875,13124,6378,1
114276,15231,14664,1
114779,15264,12321,1
114780,9222,6107,1
115988,15371,15283,1
116184,15397,1159,1
117662,15499,13279,1
118730,15579,6042,1
119337,15595,15657,1
119838,15694,15524,1
120785,15757,15755,1
120815,15757,15755,3
122183,15862,5121,1
123765,15983,4875,1
124044,16008,6683,1
124847,16055,15812,1
125149,12500,16088,1
126218,16182,13949,1
127222,16292,10692,1
127751,16337,22,1
128413,16388,16387,1
128477,16394,6107,1
128799,16414,13599,1
129273,16163,9364,1
129992,16509,14666,1
131148,16623,8120,1
131227,16632,12964,1
131842,16689,16692,1
133190,16771,14998,1
133286,16771,14998,3
133481,16807,16609,1
134627,16918,9302,1
134841,16930,11446,1
134842,16930,1174,1
135845,16995,17017,1
136024,17021,16929,1
137497,17143,16930,1
138015,17181,17165,1
138134,17183,16062,1
138358,17207,361,1
138499,17227,16959,1
138611,17233,17095,1
138863,17233,17095,3
139285,17301,17298,1
139286,17298,17301,1
139288,17167,17080,1
139396,17167,17080,3
139769,16036,5121,1
139775,15485,16036,1
139901,17244,16062,1
140066,17371,17241,1
140108,17364,17288,1
140144,17378,17288,1
140155,17364,17378,1
141357,17487,14503,1
141376,17487,14664,1
141412,17473,17460,1
141474,17487,14664,3
141582,17473,17460,3
142736,17612,12738,1
143172,17659,155,1
143306,17671,11853,1
144368,17737,6107,1
144391,17695,16930,1
145379,17854,41,1
145397,17855,10839,1
146000,17859,17755,1
147357,17999,8043,1
147633,16350,10615,1
148686,18119,8029,1
152158,18269,13422,1
152825,18350,11204,1
153346,18381,6921,1
154647,18462,22,1
156547,18594,10615,1
156684,18602,18595,1
156719,18607,18156,1
156864,18602,18595,3
157455,18660,10585,1
157745,17941,18670,1
157838,18674,10615,1
157839,18674,10589,1
158560,18711,5316,1
159231,18743,12237,1
159344,18743,12237,3
159449,18759,16689,1
160165,18810,5706,1
160663,18829,16115,1
160713,18842,18374,1
161208,10211,6691,1
161466,761,10063,1
162476,18963,18934,1
162569,18965,9663,1
162580,18967,18965,1
162636,18970,14972,1
162647,18970,758,1
162815,18982,9074,1
163003,18965,9663,3
163084,19002,10970,1
163179,19010,18940,1
163312,19019,18986,1
163377,19020,17241,1
163658,19037,19040,1
163764,19037,19040,3
164022,19073,13754,1
164397,19096,12649,1
164398,19096,16292,1
165184,19127,10216,1
165262,19131,19070,1
165892,19174,10471,1
166705,19107,10216,1
167056,19268,10085,1
168054,19283,13490,1
168910,19400,1253,1
169270,19430,9722,1
169271,19430,6553,1
169311,19430,10216,1
171452,19521,19452,1
171502,19578,5706,1
171956,19597,6107,1
172519,19631,19625,1
174987,19792,19601,1
175122,19792,19601,3
176114,19865,10193,1
176516,19894,11091,1
176659,19903,10216,1
176869,19922,14415,1
177326,19836,15484,3
177817,19961,115,1
178839,18528,9950,1
178845,20024,16858,1
178870,20026,869,1
179164,20054,19614,1
