Id,PostId,RelatedPostId,LinkTypeId
865,155,143,1
891,143,155,1
1139,192,57,1
1789,245,256,1
2699,341,302,1
3084,390,110,1
3114,393,110,1
3140,394,110,1
3191,401,367,1
3302,396,311,1
3461,421,342,1
3657,110,393,1
3669,110,390,1
3670,110,394,1
3975,473,423,1
4006,477,249,1
4032,477,270,1
4033,249,477,1
4046,481,431,1
4072,470,358,1
4650,586,356,1
4651,569,192,1
4652,569,57,1
4829,602,103,1
4837,103,602,1
4838,581,570,1
4856,614,525,1
4857,614,541,1
5001,619,265,1
5203,641,640,1
5229,640,641,1
5231,618,641,1
5288,641,618,1
5490,680,625,1
5556,669,265,1
5854,625,680,1
5910,757,666,1
6483,796,795,1
6509,795,796,1
6526,802,666,1
6527,802,757,1
6961,824,57,1
7105,805,841,1
7142,841,805,1
7202,857,824,1
7327,820,868,1
7416,878,840,1
7614,882,820,1
7618,879,820,1
7619,879,882,1
7624,868,820,1
7625,868,879,1
7903,783,864,1
7904,933,110,1
7930,934,110,1
7956,110,933,1
7957,110,934,1
8041,939,473,1
8043,944,110,1
8069,110,944,1
8104,971,125,1
8218,974,824,1
8219,974,192,1
8250,982,473,1
8261,982,939,1
9191,1031,265,1
9248,1031,1027,1
9286,1045,1039,1
9312,1039,1045,1
9314,1031,1045,1
9369,1050,640,1
9371,923,332,1
9405,1058,219,1
9738,1074,1065,1
10946,1122,663,1
11700,1200,1157,1
12091,1226,356,1
12942,1242,1176,1
13129,1242,1053,1
13135,1242,1237,1
13288,1268,1217,1
13445,1274,1217,1
14076,1299,808,1
14315,1292,991,1
15032,1344,329,1
15104,1346,1334,1
15194,1347,1255,1
15291,1354,3,1
16118,1408,1031,1
16146,1331,1031,1
16276,1414,1031,1
16277,1414,1331,1
16338,1426,1424,1
16364,1424,1426,1
17028,1450,265,1
17163,1461,1458,1
17459,1469,1031,1
17520,1467,1137,1
17682,1485,57,1
19393,1568,1547,1
19451,1573,454,1
19477,1548,407,1
19478,1574,1027,1
19646,1585,1549,1
20327,1616,1027,1
20696,1636,882,1
20697,1616,1031,1
20956,1643,1354,1
22348,1710,971,1
22470,1706,164,1
23183,1753,1031,1
23184,1758,1626,1
23249,1762,368,1
25015,1830,1031,1
25039,1819,1821,1
25247,1842,265,1
25375,1846,1802,1
25505,1857,1853,1
25890,1873,909,1
26073,1873,1877,1
26099,1878,1692,1
27319,1939,1031,1
27472,1954,1946,1
27716,1946,1954,1
27983,1984,1828,1
28211,1993,419,1
28257,1996,1031,1
28258,1993,1990,1
28453,2002,43,1
28833,2008,2016,1
28860,2018,2011,1
29057,2022,2008,1
29058,2023,1949,1
29059,2024,2000,1
29060,2024,1031,1
29953,2057,645,1
30282,2081,1549,1
30564,2093,1626,1
30769,2092,266,1
31102,2121,1984,1
31506,1031,1949,1
31667,2152,1923,1
31693,1923,2152,1
31807,1626,2093,1
31947,2168,2141,1
31950,2165,164,1
32102,2164,2117,1
32519,2191,2186,1
32606,2193,805,1
32703,2197,1577,1
33151,2212,1779,1
33250,2216,1031,1
33690,2204,2226,1
33691,2226,2204,1
33982,2235,1647,1
35112,2296,2188,1
35888,2319,2293,1
36111,2333,1434,1
36253,2338,110,1
37090,2374,74,1
37658,2393,367,1
37674,2393,1031,1
38240,2407,57,1
38427,2425,367,1
38724,2444,2302,1
38763,2438,2427,1
38901,2452,196,1
39197,2460,2459,1
39622,2474,991,1
39666,2476,991,1
39842,2464,2079,1
40073,2464,1643,1
40074,2487,57,1
40357,1828,1984,1
40733,2507,1913,1
41115,2532,1031,1
41116,2532,2320,1
41560,689,2016,1
42962,2610,249,1
42963,2610,477,1
43040,2623,265,1
43066,2629,524,1
43723,2646,2336,1
43933,2649,2016,1
44000,2573,2634,1
44006,2634,2573,1
44175,2655,1002,1
45396,2718,125,1
